status	ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2
tp	10	elk	en	3926	1072		156	elk	en	3926	1072
tp	19	apple	en	563	348		20	Apfel	de	563	348
tp	29	east	en	15864	415		29	east	en	15864	415
tp	48	bear	en	1323	570		50	Bär	de	1323	570
tp	56	bow	en	27533	576		73	bow	en	27533	576
tp	56	bow	en	27533	576		98	bow	en	27533	576
tp	73	bow	en	27533	576		98	bow	en	27533	576
tp	56	bow	en	27533	803		73	bow	en	27533	803
tp	56	bow	en	27533	803		98	bow	en	27533	803
tp	73	bow	en	27533	803		98	bow	en	27533	803
tp	60	bite	en	26850	636		62	beißen	de	26850	636
tp	66	blow	en	28037	660		68	blow	en	28037	660
tp	66	blow	en	28037	668		68	blow	en	28037	668
tp	66	blow	en	28037	680		68	blow	en	28037	680
tp	75	bosom	en	2912	712		77	Busen	de	2912	712
tp	93	bridge	en	2456	776		95	Brücke	de	2456	776
tp	111	death	en	21646	897		113	Tod	de	21646	897
tp	126	dream	en	21860	968		128	Traum	de	21860	968
tp	129	drive	en	48400	980		131	treiben	de	48400	980
tp	132	drink	en	48508	982		134	trinken	de	48508	982
tp	132	drink	en	48508	982		136	drink	en	48508	982
tp	134	trinken	de	48508	982		136	drink	en	48508	982
tp	132	drink	en	48508	997		136	drink	en	48508	997
tp	137	daughter	en	21580	1010		139	Tochter	de	21580	1010
tp	167	father	en	22192	1110		169	Vater	de	22192	1110
tp	184	Feder	de	4811	1241		185	feather	en	4811	1241
tp	191	finger	en	5341	1256		193	Finger	de	5341	1256
tp	195	finden	de	31926	1261		196	find	en	31926	1261
tp	201	fly	en	32157	1296		203	fliegen	de	32157	1296
tp	201	fly	en	32157	1296		206	fly	en	32157	1296
tp	203	fliegen	de	32157	1296		206	fly	en	32157	1296
tp	201	fly	en	32157	1297		206	fly	en	32157	1297
tp	213	fire	en	5229	1326		215	Feuer	de	5229	1326
tp	216	foot	en	6025	1333		218	Fuß	de	6025	1333
tp	221	friend	en	5883	1399		223	Freund	de	5883	1399
tp	230	fox	en	6147	1430		231	Fuchs	de	6147	1430
tp	234	full	en	50583	1443		236	voll	de	50583	1443
tp	239	fürchten	de	32846	1473		239	fürchten	de	32846	1473
tp	243	Gans	de	6345	1577		244	goose	en	6345	1577
tp	248	give	en	42619	1626		248	give	en	42619	1626
tp	254	go	en	33082	1563		256	gehen	de	33082	1563
tp	266	glass	en	7718	1663		267	Glas	de	7718	1663
tp	268	good	en	34171	1684		270	gut	de	34171	1684
tp	276	grass	en	7945	1702		277	Gras	de	7945	1702
tp	280	grau	de	33949	1717		281	grey	en	33949	1717
tp	312	hay	en	9320	1934		314	Heu	de	9320	1934
tp	324	hair	en	8415	1957		326	Haar	de	8415	1957
tp	329	heart	en	9276	1960		331	Herz	de	9276	1960
tp	332	héri	is	8821	1910		332	héri	is	8821	1910
tp	332	héri	is	8821	1910		333	hare	en	8821	1910
tp	332	héri	is	8821	1910		333	hare	en	8821	1910
tp	346	roh	de	41576	2116		347	raw	en	41576	2116
tp	350	ring	en	36384	2140		350	ring	en	36384	2140
tp	356	honey	en	9690	2205		358	Honig	de	9690	2205
tp	361	hunger	en	9991	2214		363	Hunger	de	9991	2214
tp	367	Horn	de	9717	2225		368	horn	en	9717	2225
tp	370	house	en	8941	2232		372	Haus	de	8941	2232
tp	378	where	en	52376	2253		380	wo	de	52376	2253
tp	381	white	en	51640	2291		383	weiß	de	51640	2291
tp	392	young	en	35929	2370		394	jung	de	35929	2370
tp	423	cow	en	12003	2614		425	Kuh	de	12003	2614
tp	426	cool	en	37196	2513		428	kühl	de	37196	2513
tp	444	kiss	en	37297	2606		446	küssen	de	37297	2606
tp	449	lay	en	37940	2654		451	legen	de	37940	2654
tp	455	lead	en	38076	2664		457	leiten	de	38076	2664
tp	455	lead	en	38076	2664		464	lead	en	38076	2664
tp	457	leiten	de	38076	2664		464	lead	en	38076	2664
tp	455	lead	en	38076	2717		464	lead	en	38076	2717
tp	459	lecken	de	37793	2681		488	lecken	de	37793	2681
tp	459	lecken	de	37793	2786		486	lick	en	37793	2786
tp	459	lecken	de	37793	2786		488	lecken	de	37793	2786
tp	486	lick	en	37793	2786		488	lecken	de	37793	2786
tp	465	lie	en	38394	2756		476	lie	en	38394	2756
tp	465	lie	en	38394	2781		467	liegen	de	38394	2781
tp	465	lie	en	38394	2781		476	lie	en	38394	2781
tp	467	liegen	de	38394	2781		476	lie	en	38394	2781
tp	465	lie	en	38394	2831		476	lie	en	38394	2831
tp	483	liver	en	12642	2780		484	Leber	de	12642	2780
tp	501	man	en	13702	2914		502	Mann	de	13702	2914
tp	508	mjólk	is	14130	2979		510	Milch	de	14130	2979
tp	512	moon	en	14340	2983		514	Mond	de	14340	2983
tp	515	month	en	14296	2984		517	Monat	de	14296	2984
tp	520	Mutter	de	14678	3051		521	mother	en	14678	3051
tp	523	moor	en	14418	3059		524	Moor	de	14418	3059
tp	530	morgunn	is	14503	3089		532	Morgen	de	14503	3089
tp	533	mouse	en	13847	3099		535	Maus	de	13847	3099
tp	536	midge	en	14567	3069		538	Mücke	de	14567	3069
tp	539	Nabel	de	14777	3104		540	navel	en	14777	3104
tp	541	nail	en	14982	3110		543	Nagel	de	14982	3110
tp	544	night	en	14869	3113		546	Nacht	de	14869	3113
tp	544	night	en	14869	3113		547	nótt	is	14869	3113
tp	546	Nacht	de	14869	3113		547	nótt	is	14869	3113
tp	548	naked	en	39133	3115		550	nackt	de	39133	3115
tp	548	naked	en	39133	3117		550	nackt	de	39133	3117
tp	564	needle	en	14904	3166		566	Nadel	de	14904	3166
tp	571	nest	en	15245	3155		572	Nest	de	15245	3155
tp	576	path	en	15953	3227		578	Pfad	de	15953	3227
tp	608	See	de	19105	3413		609	See	de	19105	3413
tp	611	salt	en	17473	3429		613	Salz	de	17473	3429
tp	614	Sand	de	17547	3441		615	sand	en	17547	3441
tp	622	sink	en	50145	3548		650	sink	en	50145	3548
tp	625	seven	en	45919	3471		627	sieben	de	45919	3471
tp	634	sehen	de	44748	3485		635	see	en	44748	3485
tp	634	sehen	de	44748	3485		641	see	en	44748	3485
tp	635	see	en	44748	3485		641	see	en	44748	3485
tp	638	sit	en	46228	3556		640	sitzen	de	46228	3556
tp	642	silver	en	19299	3537		644	Silber	de	19299	3537
tp	645	sing	en	46116	3545		647	singen	de	46116	3545
tp	652	shadow	en	17797	3566		654	Schatten	de	17797	3566
tp	655	scharf	de	42390	3602		656	sharp	en	42390	3602
tp	671	shoe	en	18672	3664		673	Schuh	de	18672	3664
tp	686	sleep	en	42939	3708		688	schlafen	de	42939	3708
tp	693	snow	en	18453	3766		695	Schnee	de	18453	3766
tp	701	spade	en	19594	3804		702	Spaten	de	19594	3804
tp	705	sprechen	de	46701	3852		706	speak	en	46701	3852
tp	712	staff	en	20039	3867		714	Stab	de	20039	3867
tp	716	stone	en	20366	3880		718	Stein	de	20366	3880
tp	728	steal	en	47042	3910		730	stehlen	de	47042	3910
tp	753	sound	en	36445	4020		753	sound	en	36445	4020
tp	758	sour	en	42282	4045		760	sauer	de	42282	4045
tp	763	swan	en	18835	4063		765	Schwan	de	18835	4063
tp	771	sister	en	19045	4097		771	sister	en	19045	4097
tp	771	sister	en	19045	4097		773	Schwester	de	19045	4097
tp	771	sister	en	19045	4097		773	Schwester	de	19045	4097
tp	774	sweet	en	47666	4119		776	süß	de	47666	4119
tp	778	tear	en	52870	4123		791	tear	en	52870	4123
