ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1	borrowed_1	pgmc_forms_results_1	pgmc_forms_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2	borrowed_2	pgmc_forms_results_2	pgmc_forms_wiki_2
10	elk	en	3926	1072	false	*albut-	elhaz		156	elk	en	3926	1072	false	*elha(n)-	elhaz
19	apple	en	563	348	false	*apla-	aplaz		20	Apfel	de	563	348	false	*apla-	aplaz
29	east	en	15864	415	false	*austera-	austrą		29	east	en	15864	415	false	*austera-	austrą
48	bear	en	1323	570	false	*beran-	berô		50	Bär	de	1323	570	false	*beran-	berô
56	bow	en	27533	576	false	*beugan-	beuganą		73	bow	en	27533	576	false	*bōgu-	beuganą
56	bow	en	27533	576	false	*beugan-	beuganą		98	bow	en	27533	576	false	*bugan-	beuganą
73	bow	en	27533	576	false	*bōgu-	beuganą		98	bow	en	27533	576	false	*bugan-	beuganą
56	bow	en	27533	803	false	*beugan-	bugô		73	bow	en	27533	803	false	*bōgu-	bugô
56	bow	en	27533	803	false	*beugan-	bugô		98	bow	en	27533	803	false	*bugan-	bugô
73	bow	en	27533	803	false	*bōgu-	bugô		98	bow	en	27533	803	false	*bugan-	bugô
60	bite	en	26850	636	false	*bītan-	bītaną		62	beißen	de	26850	636	false	*bītan-	bītaną
66	blow	en	28037	660	false	*blēan-	blēaną		68	blow	en	28037	660	false	*blewwan-	blēaną
66	blow	en	28037	668	true	*blēan-	blewwaną		68	blow	en	28037	668	true	*blewwan-	blewwaną
66	blow	en	28037	680	false	*blēan-	blōaną		68	blow	en	28037	680	false	*blewwan-	blōaną
75	bosom	en	2912	712	false	*bōsma-	bōsmaz		77	Busen	de	2912	712	false	*bōsma-	bōsmaz
93	bridge	en	2456	776	false	*bru(w)ī-	brugjǭ		95	Brücke	de	2456	776	false	*bru(w)ī-	brugjǭ
111	death	en	21646	897	false	*daujan-	dauþuz		113	Tod	de	21646	897	false	*daujan-	dauþuz
126	dream	en	21860	968	false	*dreugan-	draumaz		128	Traum	de	21860	968	false	*dreugan-	draumaz
129	drive	en	48400	980	false	*drīban-	drībaną		131	treiben	de	48400	980	false	*drīban-	drībaną
132	drink	en	48508	982	false	*drinkan-	drinkaną		134	trinken	de	48508	982	false	*drinkan-	drinkaną
132	drink	en	48508	982	false	*drinkan-	drinkaną		136	drink	en	48508	982	false	*drunki-	drinkaną
134	trinken	de	48508	982	false	*drinkan-	drinkaną		136	drink	en	48508	982	false	*drunki-	drinkaną
132	drink	en	48508	997	false	*drinkan-	drunkiz		136	drink	en	48508	997	false	*drunki-	drunkiz
137	daughter	en	21580	1010	false	*duhter-	duhtēr		139	Tochter	de	21580	1010	false	*duhter-	duhtēr
167	father	en	22192	1110	false	*fader-	fadēr		169	Vater	de	22192	1110	false	*fader-	fadēr
184	Feder	de	4811	1241	false	*feϸrō-	feþrō		185	feather	en	4811	1241	false	*feϸrō-	feþrō
191	finger	en	5341	1256	false	*fingra-	fingraz		193	Finger	de	5341	1256	false	*fingra-	fingraz
195	finden	de	31926	1261	false	*finϸan-	finþaną		196	find	en	31926	1261	false	*finϸan-	finþaną
201	fly	en	32157	1296	false	*fleugan-	fleuganą		203	fliegen	de	32157	1296	false	*fleugan-	fleuganą
201	fly	en	32157	1296	false	*fleugan-	fleuganą		206	fly	en	32157	1296	false	*fleugōn-	fleuganą
203	fliegen	de	32157	1296	false	*fleugan-	fleuganą		206	fly	en	32157	1296	false	*fleugōn-	fleuganą
201	fly	en	32157	1297	false	*fleugan-	fleugǭ		206	fly	en	32157	1297	false	*fleugōn-	fleugǭ
213	fire	en	5229	1326	false	*fōr-	fōr		215	Feuer	de	5229	1326	false	*fōr-	fōr
216	foot	en	6025	1333	false	*fōt-	fōts		218	Fuß	de	6025	1333	false	*fōt-	fōts
221	friend	en	5883	1399	false	*fri(j)ōnd-	frijōndz		223	Freund	de	5883	1399	false	*fri(j)ōnd-	frijōndz
230	fox	en	6147	1430	false	*fuhsa-	fuhsaz		231	Fuchs	de	6147	1430	false	*fuhsa-	fuhsaz
234	full	en	50583	1443	false	*fulla-	fullaz		236	voll	de	50583	1443	false	*fulla-	fullaz
239	fürchten	de	32846	1473	false	*furhtō-	furhtijaną		239	fürchten	de	32846	1473	false	*furhtō-	furhtijaną
243	Gans	de	6345	1577	false	*gans-	gans		244	goose	en	6345	1577	false	*gans-	gans
248	give	en	42619	1626	false	*geban-	gebaną		248	give	en	42619	1626	true	*geban-	gebaną
254	go	en	33082	1563	false	*gēn-	gāną		256	gehen	de	33082	1563	false	*gēn-	gāną
266	glass	en	7718	1663	false	*glasa-	glasą		267	Glas	de	7718	1663	false	*glasa-	glasą
268	good	en	34171	1684	false	*gōda-	gōdaz		270	gut	de	34171	1684	false	*gōda-	gōdaz
276	grass	en	7945	1702	false	*grasa-	grasą		277	Gras	de	7945	1702	false	*grasa-	grasą
280	grau	de	33949	1717	false	*grēwa-	grēwaz		281	grey	en	33949	1717	false	*grēwa-	grēwaz
312	hay	en	9320	1934	false	*hauja-	hawją		314	Heu	de	9320	1934	false	*hauja-	hawją
324	hair	en	8415	1957	false	*hēra-	hērą		326	Haar	de	8415	1957	false	*hēra-	hērą
329	heart	en	9276	1960	false	*hertōn-	hertô		331	Herz	de	9276	1960	false	*hertōn-	hertô
332	héri	is	8821	1910	false	*hesan-	hasô		332	héri	is	8821	1910	false	*hesan-	hasô
332	héri	is	8821	1910	false	*hesan-	hasô		333	hare	en	8821	1910	false	*hesan-	hasô
332	héri	is	8821	1910	false	*hesan-	hasô		333	hare	en	8821	1910	false	*hesan-	hasô
346	roh	de	41576	2116	false	*hrawa-	hrawaz		347	raw	en	41576	2116	false	*hrawa-	hrawaz
350	ring	en	36384	2140	false	*hringa-	hringaz		350	ring	en	36384	2140	true	*hringa-	hringaz
356	honey	en	9690	2205	false	*hunanga-	hunagą		358	Honig	de	9690	2205	false	*hunanga-	hunagą
361	hunger	en	9991	2214	false	*hungru-	hungruz		363	Hunger	de	9991	2214	false	*hungru-	hungruz
367	Horn	de	9717	2225	false	*hurna-	hurną		368	horn	en	9717	2225	false	*hurna-	hurną
370	house	en	8941	2232	false	*hūsa-	hūsą		372	Haus	de	8941	2232	false	*hūsa-	hūsą
378	where	en	52376	2253	false	*hwar	hwar		380	wo	de	52376	2253	false	*hwar	hwar
381	white	en	51640	2291	false	*hwīta-	hwītaz		383	weiß	de	51640	2291	false	*hwīta-	hwītaz
392	young	en	35929	2370	false	*junga-	jungaz		394	jung	de	35929	2370	false	*junga-	jungaz
423	cow	en	12003	2614	false	*kō-	kūz		425	Kuh	de	12003	2614	false	*kō-	kūz
426	cool	en	37196	2513	false	*kōlu-	kōluz		428	kühl	de	37196	2513	false	*kōlu-	kōluz
444	kiss	en	37297	2606	false	*kussjan-	kussijaną		446	küssen	de	37297	2606	false	*kussjan-	kussijaną
449	lay	en	37940	2654	false	*lagjan-	lagjaną		451	legen	de	37940	2654	false	*lagjan-	lagjaną
455	lead	en	38076	2664	false	*laidjan-	laidijaną		457	leiten	de	38076	2664	false	*laidjan-	laidijaną
455	lead	en	38076	2664	false	*laidjan-	laidijaną		464	lead	en	38076	2664	false	*lauda-	laidijaną
457	leiten	de	38076	2664	false	*laidjan-	laidijaną		464	lead	en	38076	2664	false	*lauda-	laidijaną
455	lead	en	38076	2717	false	*laidjan-	laudą		464	lead	en	38076	2717	false	*lauda-	laudą
459	lecken	de	37793	2681	false	*lakjan-	lakjaną		488	lecken	de	37793	2681	false	*likkōn-	lakjaną
459	lecken	de	37793	2786	false	*lakjan-	likkōną		486	lick	en	37793	2786	false	*likkōn-	likkōną
459	lecken	de	37793	2786	false	*lakjan-	likkōną		488	lecken	de	37793	2786	false	*likkōn-	likkōną
