ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2
5	eleven	en	30450	174		6	elf	nl	30450	174
10	elk	en	3926	1072		156	elk	en	3926	1072
19	apple	en	563	348		20	Apfel	de	563	348
29	east	en	15864	415		29	east	en	15864	415
31	oor	nl	15625	413		32	Ohr	de	15625	413
33	boom	nl	1592	454		34	Baum	de	1592	454
36	beek	nl	1233	467		37	Bach	de	1233	467
38	bake	en	26259	465		39	bakken	nl	26259	465
48	bear	en	1323	570		49	beer	nl	1323	570
48	bear	en	1323	570		50	Bär	de	1323	570
49	beer	nl	1323	570		50	Bär	de	1323	570
49	beer	nl	1323	459		50	Bär	de	1323	459
51	berg	nl	1699	561		52	Berg	de	1699	561
56	bow	en	27533	576		73	bow	en	27533	576
56	bow	en	27533	576		98	bow	en	27533	576
57	buigen	nl	27746	576		58	biegen	de	27746	576
73	bow	en	27533	576		98	bow	en	27533	576
56	bow	en	27533	803		73	bow	en	27533	803
56	bow	en	27533	803		98	bow	en	27533	803
73	bow	en	27533	803		98	bow	en	27533	803
97	Bogen	de	2192	803		99	boog	nl	2192	803
60	bite	en	26850	636		61	bijten	nl	26850	636
60	bite	en	26850	636		62	beißen	de	26850	636
61	bijten	nl	26850	636		62	beißen	de	26850	636
64	blad	nl	2008	644		65	Blatt	de	2008	644
66	blow	en	28037	660		68	blow	en	28037	660
66	blow	en	28037	668		68	blow	en	28037	668
66	blow	en	28037	680		68	blow	en	28037	680
69	bloem	nl	2063	681		70	Blume	de	2063	681
71	bouwen	nl	26445	796		72	bauen	de	26445	796
75	bosom	en	2912	712		76	boezem	nl	2912	712
75	bosom	en	2912	712		77	Busen	de	2912	712
76	boezem	nl	2912	712		77	Busen	de	2912	712
78	breed	nl	28449	723		79	breit	de	28449	723
81	break	en	52797	741		82	breken	nl	52797	741
88	broer	nl	2530	770		88	broer	nl	2530	770
88	broer	nl	2530	770		89	Bruder	de	2530	770
88	broer	nl	2530	770		89	Bruder	de	2530	770
91	borst	nl	2593	790		92	Brust	de	2593	790
93	bridge	en	2456	776		94	brug	nl	2456	776
93	bridge	en	2456	776		95	Brücke	de	2456	776
94	brug	nl	2456	776		95	Brücke	de	2456	776
103	dag	nl	21217	850		104	Tag	de	21217	850
106	deaf	en	47830	886		107	doof	nl	47830	886
109	dood	nl	21646	887		112	dood	nl	21646	887
109	dood	nl	21646	897		111	death	en	21646	897
109	dood	nl	21646	897		112	dood	nl	21646	897
109	dood	nl	21646	897		113	Tod	de	21646	897
111	death	en	21646	897		112	dood	nl	21646	897
111	death	en	21646	897		113	Tod	de	21646	897
